id,GRF Basis,alpha,beta,gamma,Tf,Training,Testing,Nx,Ny,x0,x1,y0,y1,scale,E_1,E_2,eta_12_11,eta_12_22,nu_12
1,OLD,0.01,1,1.9,1.8,3000,500,200,200,0,5,0,5,,,,,,
2,OLD,0.01,1,2.2,1.8,3000,500,200,200,0,5,0,5,,,,,,
3,OLD,0.01,1,2.5,1.8,3000,500,200,200,0,5,0,5,,,,,,
4,OLD,0.01,1,2.8,1.8,3000,500,200,200,0,5,0,5,,,,,,
5,OLD,0.01,1,3.1,1.8,3000,500,200,200,0,5,0,5,,,,,,
6,OLD,0.01,1,4,1.8,3000,500,200,200,0,5,0,5,,,,,,
7,OLD,0.01,1,5,1.8,3000,500,200,200,0,5,0,5,,,,,,
8,OLD,0.01,1,3.1,1.8,10000,N/A,200,200,0,5,0,5,,,,,,
9,NEW,0.01,1,1.5,1.8,3000,500,200,200,0,5,0,5,,,,,,
10,NEW,0.01,1,3.1,1.8,3000,500,200,200,0,5,0,5,,,,,,
11,NEW,0.01,4,2.6,1.8,3000,500,200,200,0,5,0,5,,,,,,
12,OLD,0.01,1,2.1,1.8,3000,500,200,200,0,5,0,5,,,,,,
13,OLD,0.01,1,2.1,1.4,3000,500,200,200,0,5,0,5,,,,,,
14,OLD,0.01,1,2.1,1,3000,500,200,200,0,5,0,5,,,,,,
15,OLD,0.01,1,2.1,0.6,3000,500,200,200,0,5,0,5,,,,,,
16,OLD,0.01,1,2.1,0.2,3000,500,200,200,0,5,0,5,,,,,,
17,NEW,0.019904,1,1.9,1.8,3000,500,200,200,0,5,0,5,0.0075,,,,,
18,NEW,0.022753,1,2.2,1.8,3000,500,200,200,0,5,0,5,0.0075,,,,,
19,NEW,0.025168,1,2.5,1.8,3000,500,200,200,0,5,0,5,0.0075,,,,,
20,NEW,0.027219,1,2.8,1.8,3000,500,200,200,0,5,0,5,0.0075,,,,,
21,NEW,0.02896,1,3.1,1.8,3000,500,200,200,0,5,0,5,0.0075,,,,,
22,NEW,0.032714,1,4,1.8,3000,500,200,200,0,5,0,5,0.0075,,,,,
23,NEW,0.035061,1,5,1.8,3000,500,200,200,0,5,0,5,0.0075,,,,,
24,NEW,0.025168,1,2.5,1.4,3000,500,200,200,0,5,0,5,0.0075,,,,,
25,NEW,0.025168,1,2.5,1,3000,500,200,200,0,5,0,5,0.0075,,,,,
26,NEW,0.025168,1,2.5,0.6,3000,500,200,200,0,5,0,5,0.0075,,,,,
27,NEW,0.025168,1,2.5,0.2,3000,500,200,200,0,5,0,5,0.0075,,,,,
28,NEW,0.033557,1,2.5,1.8,3000,500,200,200,0,5,0,5,0.01,,,,,
29,NEW,0.041947,1,2.5,1.8,3000,500,200,200,0,5,0,5,0.0125,,,,,
30,NEW,0.016779,1,2.5,1.8,3000,500,200,200,0,5,0,5,0.005,,,,,
31,NEW,0.008389,1,2.5,1.8,3000,500,200,200,0,5,0,5,0.0025,,,,,
32,NEW,0.025168,1,2.5,1.8,20000,N/A,200,200,0,5,0,5,0.0075,,,,,
33,NEW,0.073331,4,2.5,1.8,3000,500,200,200,0,5,0,5,0.0075,,,,,
34,NEW,0.025168,1,2.5,1.8,3000,500,200,200,0,5,0,5,0.0075,1,1,0,0,0.333333333
35,NEW,0.025168,1,2.5,1.8,3000,500,200,200,0,5,0,5,0.0075,1,1,0,0,0.1
36,NEW,0.025168,1,2.5,1.8,3000,500,200,200,0,5,0,5,0.0075,1,2,0,0,0.1
37,NEW,0.025168,1,2.5,1.8,3000,500,200,200,0,5,0,5,0.0075,1,2,1,-0.5,0.2
